,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,label,x-tsne,y-tsne,x-bin,y-bin
16,0.26898298,-0.35009515,1.6246349,0.05986604,1.1949729,-1.6164126,0.8253543,1.4560739,0.37062925,-0.022884833,0.25342998,2.0,-0.71531785,2.5115335,0,2
17,0.3119919,-0.10489595,1.6397868,0.05689817,1.2054876,-1.6026286,0.7851362,2.277414,0.989556,0.04720398,0.023368275,2.0,-0.44550696,2.4627092,0,2
18,0.35190874,0.16920672,1.6624175,0.06340425,1.2032939,-1.6362599,0.73014164,1.9090747,0.7427362,0.0799029,-0.07855942,2.0,-0.4981192,2.2856927,0,2
19,0.38797867,0.3928305,1.6740404,0.07345263,1.1957738,-1.6647382,0.6684982,1.4831774,0.44586116,0.08807589,-0.117015116,2.0,-0.58470166,2.0168228,0,2
20,0.42001143,0.5650007,1.6745054,0.08381682,1.1866273,-1.6878501,0.6048014,1.1117018,0.18917352,0.08477908,-0.1231551,2.0,-0.6791438,1.679265,0,1
21,0.44789866,0.6941613,1.6657081,0.0930275,1.1776834,-1.7054946,0.5397111,0.8164583,-0.013687742,0.076864265,-0.11401912,2.0,-0.7412625,1.3548125,0,1
22,0.47156686,0.7895767,1.6496781,0.10059043,1.1697549,-1.7188333,0.47370693,0.58849585,-0.16970816,0.067968264,-0.09879494,2.0,-0.77023894,1.09263,0,1
23,0.49096975,0.8591625,1.6281298,0.10650097,1.1631136,-1.7288976,0.40711865,0.41591808,-0.2874953,0.059768435,-0.0822866,1.0,-0.77211326,0.9001866,0,0
24,0.50624305,0.8592644,1.591756,0.10551367,1.1576623,-1.7832823,0.34504953,-0.48690623,-0.90481216,0.0033133482,-0.0688909,1.0,-0.31556505,0.3122195,0,0
25,0.51710856,0.8813613,1.5604813,0.093504675,1.1532097,-1.7120351,0.27063146,0.754667,-0.036361977,-0.0536573,-0.057291605,1.0,-0.78116953,1.0975893,0,1
26,0.5236535,0.8881612,1.5259134,0.08142299,1.1497566,-1.7982606,0.21012823,-0.72294825,-1.0655742,-0.010725721,-0.044305194,2.0,-0.1978236,0.16370288,0,0
27,0.5259082,0.85785973,1.4830852,0.07765019,1.1470902,-1.7450329,0.13798073,0.17620157,-0.4482073,0.031980462,-0.037032593,1.0,-0.77913696,0.5351877,0,0
28,0.52371645,0.8687636,1.4491465,0.07535943,1.145097,-1.761414,0.071477495,-0.08119909,-0.6236995,0.012757573,-0.027871575,1.0,-0.6812703,0.3296148,0,0
29,0.5171821,0.88535213,1.416538,0.069835156,1.1437143,-1.7422099,0.0030894722,0.2635705,-0.38273022,-0.0019248187,-0.02152729,2.0,-0.85194004,0.4695798,0,0
30,0.50628626,0.91495085,1.3866264,0.068669744,1.1428915,-1.7504894,-0.06414153,0.11964196,-0.4892654,0.048952796,-0.0141336955,1.0,-0.8447045,0.30670264,0,0
31,0.49109027,0.9247148,1.3523641,0.069520555,1.1424339,-1.7619879,-0.13069259,-0.042511303,-0.5987903,0.028322475,-0.011802209,2.0,-0.7864315,0.15331252,0,0
32,0.4715767,0.9335345,1.3178481,0.07205442,1.1421789,-1.7538955,-0.198259,0.10345694,-0.50195426,0.05942734,-0.009156284,2.0,-0.87965155,0.14350572,0,0
33,0.44773346,0.9528186,1.2854831,0.078518495,1.1421229,-1.7540485,-0.26535007,0.12024744,-0.49200526,0.0713508,-0.0068276715,1.0,-0.9125445,0.066748254,0,0
34,0.41959688,0.9593087,1.2504305,0.08201711,1.1421626,-1.7694523,-0.33184627,-0.09355109,-0.63525736,0.035248708,-0.006517092,1.0,-0.8342081,-0.09394154,0,0
35,0.38717002,0.9690007,1.2162281,0.079867765,1.1422168,-1.7557822,-0.39859775,0.16916381,-0.45020804,0.011535586,-0.0064382036,2.0,-0.9931067,-0.09147297,0,0
36,0.350437,0.98948914,1.184299,0.07978963,1.1423471,-1.7624639,-0.46576956,0.072955355,-0.52197504,0.048524536,-0.004830049,1.0,-0.97168475,-0.22085828,0,0
37,0.3093947,0.99146134,1.1483372,0.08041669,1.142528,-1.7764474,-0.5326374,-0.11659339,-0.6503785,0.026612634,-0.0049554235,1.0,-0.9203522,-0.36529362,0,0
38,0.26406288,0.9962609,1.113085,0.077409156,1.1426928,-1.7644463,-0.59904224,0.1162324,-0.487133,0.010343082,-0.0052145333,2.0,-1.0452286,-0.4091477,-1,0
