,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,label,x-tsne,y-tsne,x-bin,y-bin
48,-0.0154536795,3.2738461,-0.43108967,2.3233688,1.1683286,-2.0715005,-1.1175213,-0.16867928,-0.76321715,-0.09434964,-0.06803038,2.0,14.943063,-8.951838,14,-8
49,-0.10940635,3.255151,-0.49527493,2.3080468,1.1683288,-2.0891676,-1.1777607,-0.2387454,-0.7425555,-0.14746682,-0.06802301,2.0,14.905801,-9.088192,14,-9
50,-0.2076609,3.2298644,-0.55759513,2.2881727,1.1683246,-2.0706189,-1.187344,-0.34830198,-0.72257453,-0.22078659,-0.06858278,2.0,14.860672,-9.239995,14,-9
51,-0.29815912,3.1845431,-0.62047166,2.2585454,1.1682072,-1.924612,-1.0249615,-0.64312243,-0.74970245,-0.38084492,-0.07015939,2.0,14.760937,-9.554806,14,-9
52,-0.37737063,3.1039803,-0.6872394,2.2129338,1.1680261,-1.8376623,-0.8985471,-1.1356735,-0.823004,-0.6207902,-0.0702975,2.0,14.54938,-10.187747,14,-10
53,-0.44822174,2.9769454,-0.76300246,2.1492424,1.1678591,-1.7758298,-0.81064624,-1.677925,-0.98474145,-0.83465695,-0.069869734,2.0,14.338869,-10.804552,14,-10
54,-0.5136483,2.806669,-0.85211515,2.071525,1.1677321,-1.7121321,-0.75885284,-2.0979123,-1.1726584,-0.97327787,-0.06932957,2.0,14.248979,-11.064147,14,-11
55,-0.5762486,2.608745,-0.9526756,1.9854395,1.1676475,-1.6385736,-0.73713315,-2.2933385,-1.2848388,-1.0451179,-0.06882128,2.0,14.206145,-11.176506,14,-11
56,-0.6381283,2.4033895,-1.056108,1.8947016,1.167603,-1.5644275,-0.7393822,-2.263776,-1.2481463,-1.0903064,-0.06834287,2.0,14.158463,-11.255833,14,-11
57,-0.700997,2.2075555,-1.150637,1.7998668,1.1675969,-1.5057763,-0.7617956,-2.0820198,-1.051764,-1.1480638,-0.06787468,2.0,14.07955,-11.357829,14,-11
58,-0.7663484,2.0308533,-1.2257146,1.6992309,1.1676276,-1.4744059,-0.80265623,-1.8384169,-0.7386507,-1.2360293,-0.067436285,2.0,13.942288,-11.532206,13,-11
59,-0.8355668,1.8760082,-1.2748626,1.5906281,1.1676902,-1.4722433,-0.860668,-1.5957721,-0.37252232,-1.3482547,-0.067080155,2.0,13.739913,-11.779115,13,-11
60,-0.90990347,1.7420229,-1.2960136,1.4728581,1.1677759,-1.4926251,-0.9335726,-1.3742307,-0.0052636727,-1.4665112,-0.06685616,2.0,13.467675,-12.098164,13,-12
61,-0.99027735,1.6273267,-1.2900624,1.3460221,1.1678716,-1.5208089,-1.0138195,-1.1684767,0.33673185,-1.5771952,-0.066838905,2.0,13.180026,-12.412101,13,-12
62,-1.0769863,1.5307854,-1.2589929,1.2108185,1.1679617,-1.5485605,-1.0960121,-0.9702939,0.6528636,-1.6767749,-0.06697069,2.0,12.905451,-12.693501,12,-12
63,-1.1701744,1.451978,-1.2045004,1.0680726,1.1680388,-1.575791,-1.1799865,-0.7739234,0.95042473,-1.766724,-0.06715419,2.0,12.67018,-12.922419,12,-12
64,-1.262623,1.3950775,-1.1281538,0.9196431,1.1683328,-1.574516,-1.028565,-0.46204397,1.2232245,-1.8123463,-0.060815614,2.0,12.427201,-13.145193,12,-13
65,-1.3398772,1.3605286,-1.0301359,0.76423156,1.1690501,-1.6109918,-0.84325266,-0.30319083,1.5207844,-1.9507067,-0.0580409,2.0,12.195627,-13.343317,12,-13
66,-1.4041138,1.3309464,-0.9127767,0.59597933,1.1698418,-1.6795148,-0.6960205,-0.35008466,1.7301364,-2.134824,-0.058576107,2.0,12.009088,-13.488238,12,-13
67,-1.4582509,1.2928711,-0.78450155,0.4145699,1.1704342,-1.7466878,-0.5849482,-0.4909909,1.8068746,-2.2813137,-0.062535785,2.0,11.881679,-13.575187,11,-13
68,-1.5049831,1.2438166,-0.65354717,0.22447,1.1706579,-1.7894732,-0.506043,-0.59362125,1.8003128,-2.3532295,-0.067563355,2.0,11.772155,-13.641642,11,-13
69,-1.5466954,1.1909951,-0.5230779,0.031263854,1.1704826,-1.8026246,-0.45563492,-0.574387,1.7940664,-2.359319,-0.07241004,2.0,11.661624,-13.704491,11,-13
70,-1.5855551,1.1459956,-0.3906173,-0.16111071,1.1699429,-1.7952409,-0.43208566,-0.419302,1.8523707,-2.3321528,-0.07663359,2.0,11.525423,-13.79331,11,-13
71,-1.6236454,1.1193713,-0.25043395,-0.35129505,1.1690919,-1.7818493,-0.43508905,-0.1652638,1.9963008,-2.304016,-0.08016233,2.0,11.392895,-13.902603,11,-13
72,-1.6627545,1.1172252,-0.096618064,-0.5399087,1.1675004,-1.7748277,-0.45577347,0.12350999,2.2096558,-2.2923193,-0.09771864,2.0,11.272635,-14.023887,11,-14
73,-1.7030545,1.1385831,0.07425032,-0.7280618,1.1622323,-1.7795787,-0.46382648,0.35621086,2.4431028,-2.2924755,-0.17055048,2.0,11.181826,-14.124087,11,-14
74,-1.7429736,1.1753429,0.2599651,-0.91549987,1.1492085,-1.7869166,-0.4445617,0.4647037,2.598748,-2.2746265,-0.29068786,2.0,11.114332,-14.189978,11,-14
75,-1.7807205,1.1407281,0.3938639,-1.0974909,1.1252134,-1.8841323,-0.40600404,-1.1566343,1.1570454,-2.158202,-0.44459695,2.0,10.11467,-13.828323,10,-13
76,-1.8124931,1.0184106,0.44164857,-1.2586621,1.0912111,-1.7379018,-0.29147938,-1.4638311,0.35997358,-1.7538674,-0.5426381,2.0,9.223109,-13.749374,9,-13
77,-1.834652,0.88990575,0.44630265,-1.388802,1.049468,-1.5550708,-0.16006964,-1.3386943,-0.014140783,-1.3768992,-0.638205,2.0,8.915046,-13.724187,8,-13
78,-1.8456223,0.78263444,0.4319418,-1.4897556,0.9994474,-1.351691,-0.0046802345,-1.0169753,-0.16168424,-1.0195575,-0.74948776,2.0,-0.32214233,-12.2459345,0,-12
79,-1.8437527,0.70499766,0.41118032,-1.5641218,0.93963355,-1.1575902,0.16910267,-0.69366187,-0.194796,-0.7081047,-0.88314277,2.0,-0.638555,-12.263468,0,-12
80,-1.8290944,0.6482061,0.39012787,-1.6185842,0.8693125,-1.0300118,0.32233799,-0.56042653,-0.1760691,-0.5184777,-1.0131272,2.0,-0.83906955,-12.275918,0,-12
